>DATE(0/DATE), TIME(1/TIME),IL1,IL2,IL3,Io,Uo,U1,U2,U3,U1B
2023-02-10,12:59:16.550128,21.094,-4.688,-21.094,0.000,-0.045,26.145,-7.277,-19.002,0.000
2023-02-10,12:59:16.550753,18.750,2.344,-23.438,0.000,-0.045,24.527,-2.156,-22.506,-0.135
2023-02-10,12:59:16.551378,11.719,9.375,-25.781,0.000,0.000,21.967,3.234,-25.336,0.000
2023-02-10,12:59:16.552003,9.375,14.062,-25.781,0.000,0.000,18.463,8.490,-27.088,-0.135
2023-02-10,12:59:16.552628,7.031,18.750,-28.125,0.000,0.000,13.881,13.342,-27.357,0.000
2023-02-10,12:59:16.553253,2.344,21.094,-28.125,0.000,0.000,9.029,17.520,-26.684,0.000
2023-02-10,12:59:16.553878,-2.344,23.438,-25.781,0.000,0.000,3.908,21.158,-25.336,0.000
2023-02-10,12:59:16.554503,-9.375,25.781,-21.094,0.000,0.000,-1.482,24.123,-22.910,-0.135
2023-02-10,12:59:16.555128,-11.719,25.781,-16.406,0.000,0.000,-6.738,26.414,-19.811,-0.135
2023-02-10,12:59:16.555753,-16.406,25.781,-11.719,0.000,0.000,-11.859,27.223,-15.498,0.000
2023-02-10,12:59:16.556378,-21.094,25.781,-9.375,0.000,-0.045,-16.307,26.818,-10.647,-0.135
2023-02-10,12:59:16.557003,-23.438,23.438,-4.688,0.000,-0.045,-20.215,25.606,-5.660,0.000
2023-02-10,12:59:16.557628,-25.781,18.750,2.344,0.000,0.000,-23.449,23.584,-0.270,-0.135
2023-02-10,12:59:16.558253,-23.438,11.719,9.375,0.000,0.000,-26.010,20.754,5.121,0.000
2023-02-10,12:59:16.558878,-23.438,9.375,11.719,0.000,0.000,-27.357,16.846,10.242,-0.135
2023-02-10,12:59:16.559503,-25.781,4.688,16.406,0.000,0.000,-27.223,11.994,14.959,0.000
2023-02-10,12:59:16.560128,-23.438,0.000,18.750,-2.344,0.000,-26.279,7.143,19.002,0.000
2023-02-10,12:59:16.560753,-21.094,-4.688,21.094,0.000,0.000,-24.527,1.887,22.506,0.000
2023-02-10,12:59:16.561378,-16.406,-11.719,23.438,-2.344,-0.045,-21.967,-3.369,25.201,0.000
2023-02-10,12:59:16.562003,-11.719,-16.406,23.438,-2.344,-0.045,-18.463,-8.625,26.953,-0.135
2023-02-10,12:59:16.562628,-9.375,-21.094,25.781,-2.344,-0.045,-13.881,-13.477,27.223,-0.135
2023-02-10,12:59:16.563253,-4.688,-23.438,25.781,-2.344,-0.045,-9.029,-17.789,26.549,0.000
2023-02-10,12:59:16.563878,0.000,-28.125,23.438,-2.344,-0.045,-4.043,-21.428,25.201,-0.135
2023-02-10,12:59:16.564503,4.688,-28.125,18.750,-2.344,-0.045,1.348,-24.393,22.775,-0.135
2023-02-10,12:59:16.565128,9.375,-28.125,14.062,-2.344,-0.045,6.738,-26.684,19.676,0.000
2023-02-10,12:59:16.565753,14.062,-28.125,11.719,-2.344,-0.045,11.859,-27.492,15.363,0.000
2023-02-10,12:59:16.566378,18.750,-28.125,7.031,-2.344,0.000,16.172,-26.953,10.512,-0.135
2023-02-10,12:59:16.567003,21.094,-25.781,2.344,-2.344,0.000,20.080,-25.875,5.525,-0.135
2023-02-10,12:59:16.567628,23.438,-21.094,-4.688,-2.344,-0.045,23.315,-23.854,0.270,-0.135
2023-02-10,12:59:16.568253,21.094,-16.406,-11.719,-2.344,-0.045,25.875,-20.889,-5.121,0.000
2023-02-10,12:59:16.568878,21.094,-11.719,-14.062,-2.344,-0.045,27.223,-16.981,-10.377,-0.135
2023-02-10,12:59:16.569503,23.438,-7.031,-18.750,0.000,-0.045,27.088,-12.129,-15.094,-0.135
2023-02-10,12:59:16.570128,21.094,-4.688,-21.094,0.000,-0.045,26.145,-7.277,-19.137,-0.135
2023-02-10,12:59:16.570753,18.750,2.344,-23.438,0.000,-0.045,24.527,-2.021,-22.506,0.000
2023-02-10,12:59:16.571378,14.062,9.375,-25.781,-2.344,0.000,21.832,3.234,-25.336,0.000
2023-02-10,12:59:16.572003,9.375,14.062,-25.781,0.000,0.000,18.328,8.490,-27.088,0.000
2023-02-10,12:59:16.572628,7.031,18.750,-28.125,0.000,0.000,13.746,13.342,-27.357,-0.135
2023-02-10,12:59:16.573253,2.344,21.094,-28.125,0.000,0.000,8.895,17.520,-26.684,0.000
2023-02-10,12:59:16.573878,-2.344,23.438,-25.781,0.000,0.000,3.908,21.158,-25.201,0.000
2023-02-10,12:59:16.574503,-9.375,25.781,-21.094,0.000,0.000,-1.482,24.258,-22.910,-0.135
2023-02-10,12:59:16.575128,-14.062,25.781,-16.406,0.000,0.000,-6.873,26.549,-19.811,0.000
2023-02-10,12:59:16.575753,-16.406,25.781,-11.719,0.000,0.000,-11.994,27.223,-15.498,-0.135
2023-02-10,12:59:16.576378,-21.094,25.781,-9.375,0.000,-0.045,-16.441,26.818,-10.512,0.000
2023-02-10,12:59:16.577003,-23.438,23.438,-4.688,0.000,-0.045,-20.215,25.740,-5.660,0.000
2023-02-10,12:59:16.577628,-23.438,18.750,2.344,0.000,0.000,-23.449,23.584,-0.270,0.000
2023-02-10,12:59:16.578253,-23.438,11.719,7.031,0.000,0.000,-26.010,20.754,5.121,0.000
2023-02-10,12:59:16.578878,-25.781,9.375,11.719,0.000,0.000,-27.357,16.711,10.377,0.000
2023-02-10,12:59:16.579503,-25.781,4.688,16.406,0.000,0.000,-27.223,11.994,14.959,0.000
2023-02-10,12:59:16.580128,-25.781,0.000,21.094,-2.344,0.000,-26.279,7.008,19.002,-0.135
2023-02-10,12:59:16.580753,-21.094,-4.688,23.438,-2.344,0.000,-24.527,1.887,22.506,-0.135
2023-02-10,12:59:16.581378,-16.406,-11.719,23.438,-2.344,-0.045,-21.967,-3.504,25.201,-0.135
2023-02-10,12:59:16.582003,-11.719,-16.406,23.438,-2.344,-0.045,-18.463,-8.760,27.088,-0.135
2023-02-10,12:59:16.582628,-9.375,-21.094,25.781,-2.344,-0.045,-13.881,-13.611,27.223,-0.135
2023-02-10,12:59:16.583253,-4.688,-23.438,25.781,-2.344,-0.045,-9.029,-17.789,26.549,0.000
2023-02-10,12:59:16.583878,0.000,-25.781,23.438,-2.344,-0.045,-3.908,-21.428,25.201,0.000
2023-02-10,12:59:16.584503,7.031,-28.125,18.750,-2.344,-0.045,1.482,-24.393,22.775,-0.135
2023-02-10,12:59:16.585128,9.375,-28.125,14.062,-2.344,-0.045,6.738,-26.684,19.676,0.000
2023-02-10,12:59:16.585753,14.062,-28.125,11.719,-2.344,-0.045,11.859,-27.492,15.363,0.000
2023-02-10,12:59:16.586378,18.750,-28.125,7.031,-2.344,0.000,16.307,-26.953,10.512,-0.135
2023-02-10,12:59:16.587003,21.094,-25.781,2.344,-2.344,0.000,20.080,-25.875,5.525,0.000
2023-02-10,12:59:16.587628,23.438,-21.094,-4.688,-2.344,-0.045,23.315,-23.719,0.135,-0.135
