>DATE(0/DATE), TIME(1/TIME),IL1,IL2,IL3,Io,Uo,U1,U2,U3,U1B_RMS
2023-02-10,12:59:16.550128,21.094,4.688,21.094,0.000,0.045,26.145,7.277,19.002,0.000
2023-02-10,12:59:16.550753,19.956,3.706,22.296,0.000,0.045,25.349,5.367,20.828,0.095
2023-02-10,12:59:16.551378,17.643,6.201,23.515,0.000,0.037,24.274,4.763,22.431,0.078
2023-02-10,12:59:16.552003,15.982,8.847,24.102,0.000,0.032,22.960,5.919,23.682,0.095
2023-02-10,12:59:16.552628,14.637,11.530,24.958,0.000,0.029,21.453,7.977,24.461,0.085
2023-02-10,12:59:16.553253,13.396,13.599,25.514,0.000,0.026,19.928,10.207,24.845,0.078
2023-02-10,12:59:16.553878,12.434,15.395,25.552,0.000,0.024,18.509,12.380,24.916,0.072
2023-02-10,12:59:16.554503,12.094,17.043,25.038,0.000,0.023,17.321,14.382,24.674,0.083
2023-02-10,12:59:16.555128,12.053,18.222,24.231,0.000,0.021,16.484,16.167,24.182,0.090
2023-02-10,12:59:16.555753,12.556,19.113,23.285,0.000,0.020,16.082,17.588,23.459,0.085
2023-02-10,12:59:16.556378,13.556,19.812,22.380,0.000,0.024,16.102,18.617,22.596,0.091
2023-02-10,12:59:16.557003,14.637,20.139,21.470,0.000,0.026,16.484,19.297,21.696,0.087
2023-02-10,12:59:16.557628,15.776,20.036,20.638,0.000,0.025,17.121,19.660,20.845,0.092
2023-02-10,12:59:16.558253,16.442,19.559,20.045,0.000,0.024,17.903,19.740,20.133,0.088
2023-02-10,12:59:16.558878,16.998,19.050,19.600,0.000,0.023,18.683,19.560,19.629,0.092
2023-02-10,12:59:16.559503,17.676,18.483,19.416,0.000,0.023,19.327,19.175,19.371,0.089
2023-02-10,12:59:16.560128,18.065,17.931,19.377,0.568,0.022,19.804,18.683,19.349,0.086
2023-02-10,12:59:16.560753,18.247,17.461,19.476,0.552,0.021,20.096,18.162,19.538,0.084
2023-02-10,12:59:16.561378,18.155,17.206,19.705,0.760,0.023,20.198,17.695,19.876,0.082
2023-02-10,12:59:16.562003,17.888,17.167,19.908,0.908,0.025,20.115,17.354,20.289,0.085
2023-02-10,12:59:16.562628,17.576,17.374,20.226,1.023,0.026,19.863,17.189,20.672,0.088
2023-02-10,12:59:16.563253,17.201,17.695,20.512,1.117,0.027,19.501,17.217,20.975,0.086
2023-02-10,12:59:16.563878,16.823,18.273,20.647,1.197,0.028,19.091,17.421,21.176,0.089
2023-02-10,12:59:16.564503,16.497,18.787,20.572,1.266,0.029,18.691,17.766,21.245,0.091
2023-02-10,12:59:16.565128,16.272,19.247,20.352,1.326,0.030,18.363,18.207,21.184,0.089
2023-02-10,12:59:16.565753,16.192,19.663,20.088,1.379,0.031,18.156,18.650,20.990,0.088
2023-02-10,12:59:16.566378,16.294,20.040,19.759,1.426,0.030,18.087,19.022,20.697,0.090
2023-02-10,12:59:16.567003,16.490,20.273,19.408,1.469,0.030,18.161,19.309,20.351,0.092
2023-02-10,12:59:16.567628,16.777,20.302,19.090,1.508,0.030,18.363,19.483,19.997,0.094
2023-02-10,12:59:16.568253,16.939,20.184,18.891,1.543,0.031,18.662,19.532,19.683,0.092
2023-02-10,12:59:16.568878,17.089,19.967,18.755,1.575,0.031,18.999,19.455,19.453,0.094
2023-02-10,12:59:16.569503,17.322,19.692,18.755,1.550,0.032,19.303,19.268,19.331,0.095
2023-02-10,12:59:16.570128,17.322,19.692,18.755,1.550,0.032,19.303,19.268,19.336,0.098
2023-02-10,12:59:16.570753,17.322,19.692,18.755,1.550,0.032,19.303,19.267,19.336,0.095
2023-02-10,12:59:16.571378,17.377,19.692,18.755,1.605,0.032,19.298,19.267,19.336,0.095
2023-02-10,12:59:16.572003,17.377,19.692,18.755,1.605,0.032,19.294,19.267,19.336,0.092
2023-02-10,12:59:16.572628,17.377,19.692,18.755,1.605,0.032,19.291,19.267,19.336,0.095
2023-02-10,12:59:16.573253,17.377,19.692,18.755,1.605,0.032,19.289,19.267,19.336,0.095
2023-02-10,12:59:16.573878,17.377,19.692,18.755,1.605,0.032,19.289,19.267,19.330,0.095
2023-02-10,12:59:16.574503,17.377,19.692,18.755,1.605,0.032,19.289,19.273,19.330,0.095
2023-02-10,12:59:16.575128,17.431,19.692,18.755,1.605,0.032,19.291,19.279,19.330,0.092
2023-02-10,12:59:16.575753,17.431,19.692,18.755,1.605,0.032,19.293,19.279,19.330,0.095
2023-02-10,12:59:16.576378,17.431,19.692,18.755,1.605,0.032,19.297,19.279,19.328,0.092
2023-02-10,12:59:16.577003,17.431,19.692,18.755,1.605,0.032,19.297,19.284,19.328,0.092
2023-02-10,12:59:16.577628,17.327,19.692,18.755,1.605,0.032,19.297,19.284,19.328,0.089
2023-02-10,12:59:16.578253,17.327,19.692,18.723,1.605,0.032,19.297,19.284,19.328,0.089
2023-02-10,12:59:16.578878,17.431,19.692,18.723,1.605,0.032,19.297,19.280,19.330,0.086
2023-02-10,12:59:16.579503,17.431,19.692,18.723,1.605,0.032,19.297,19.280,19.330,0.086
2023-02-10,12:59:16.580128,17.534,19.692,18.800,1.605,0.032,19.297,19.279,19.330,0.089
2023-02-10,12:59:16.580753,17.534,19.692,18.887,1.657,0.032,19.297,19.279,19.330,0.092
2023-02-10,12:59:16.581378,17.534,19.692,18.887,1.657,0.032,19.297,19.280,19.330,0.095
